公司名,工作名,薪资,学历要求,工作经验,是否全职,公司类型,公司规模,任职要求
上海煜喜环保科技有限公司,急招Python开发助理+福利好待遇好,6K-8K,大专,不限,全职,不限,100-499人,岗位职责：1、录入网站站点；2、编写Python初级代码；3、其他领导交给的任务；4、负责物联网应用系统开发、算法实现。任职要求：1.计算机科学、软件工程相关专业；2.了解Java或Python，了解C/C++语 言；3.了解linux系统以及基本的命令；4.了解网络通信技术，了解常用的网络协议；薪资待遇：1.双休，朝九晚六，五险一金，无责任底薪3500-4500元/月+提成。2.员工享餐补、健康体检、生日礼物，过节物品等福利。3.享受法定假期，带薪年假。
上海安秉信息技术有限公司,Python开发工程师,4K-6K,大专,不限,全职,民营,500-999人,"1. 承担公司金融项目交易平台系统平台的架构研发，测试，维护；2. 负责详细设计文档编写，需求对接等；3. 根据公司技术架构，从事前沿技术研究。任职要求：1. 大专及以上学历，计算机及相关专业，1年及以上工作经验；2. 熟悉数据库，mysql,等；3. 优秀的沟通和表达能力，清楚的表达个人想法、理解他人观点，具备团队合作意识和推动协作达成的能力。"
上海安秉信息技术有限公司,python开发助理,8K-10K,大专,不限,全职,民营,500-999人,1、Python开发为主，负责基于Java架构的运营商系统架构分析、设计，配合技术团队完成产品研发；2、参与制定设计及实现规范，指导设计、实现及部署工作；4、配合进行技术决策，进行技术风险评估；5、协助其他工程师解决关键问题；任职要求：1、大专及以上学历，计算机科学与技术、网络工程、信息系统与管理等计算机相关专业，应届生优先；2、熟练运用计算机基本操作，有责任感，团队意识强，有较好的学习能力者；3、协助工程师对项目的研发、手机App以及项目网站的开发；4、有良好的团队合作精神和严谨工作态度；5、了解基本编程语言。
大查柜(上海)网络科技有限公司,python工程师,10K-15K,大专,1-3年,全职,民营,500-999人,1.熟练使用python语言、1年以上python工作经验；2.计算机相关专业全日制本科毕业、基础知识扎实；3.具有良好的编码风格和习惯、遵循OOP开发思想、良好的学习能力；4.熟练使用至少一种数据库（MySQL/Redis/Postgresql...）；5.熟练使用至少一种框架（Django/Flask/Tornado...）；6.熟练使用git版本工具；7.熟练使用selenium（webdriver）自动化框架；8.熟悉php、nodejs更佳；9.善于与人沟通、责任心强、具有团队合作精神；岗位职责：1.使用selenium爬取数据；2.与其他同事进行数据对接；3.搭建公司内部web服务；4.公司安排的其它工作。
郑州司达信息技术有限公司,Python,15K-20K,大专,3-5年,全职,民营,100-499人,?特别要求：具备优秀的沟通技巧，能够使用英语进行团队的交流与协作;请注意！！请注意！！有出差，出差地点在大连，时间约1年多，看好联系，非诚勿扰岗位职责：?负责公司大规模Python数据采集系统的前端和后端功能以及模块接口的开发;?参与Python和搜索系统前后技术框架。实施计划，负责技术规范的设计和实施;?不断提高输出产品的质量，性能和稳定性并对其进行优化。?完成新功能和模块的开发，学习和研究新技术，以不断满足新的产品需求;?领导团队成员进行任务分离，对接和技术评估。任职资格：?至少3年以上的软件开发经验?擅长Python，J2EE，Spring MVC，Hibernate。?能够熟练掌握调试技巧以及具备迅捷解决bug的能力?熟练掌握Linux和Mysql的使用，如果掌握任何前端技能，如JQuery，EasyUI将优先录用。?掌握良好的共同技巧以及优秀的团队协作能力?特别要求：能够使用英语进行团队的交流与协作。请注意英语流利沟通
郑州司达信息技术有限公司,Python开发工程师,15K-20K,本科,3-5年,全职,民营,100-499人,?负责公司大规模Python数据采集系统的前端和后端功能以及模块接口的开发;?参与Python和搜索系统前后技术框架。实施计划，负责技术规范的设计和实施;?不断提高输出产品的质量，性能和稳定性并对其进行优化。?完成新功能和模块的开发，学习和研究新技术，以不断满足新的产品需求;?领导团队成员进行任务分离，对接和技术评估。任职资格：?至少3年以上的软件开发经验?擅长Python，J2EE，Spring MVC，Hibernate。?能够熟练掌握调试技巧以及具备迅捷解决bug的能力?熟练掌握Linux和Mysql的使用，如果掌握任何前端技能，如JQuery，EasyUI将优先录用。?掌握良好的共同技巧以及优秀的团队协作能力?特别要求：能够使用英语进行团队的交流与协作。
北京中亦安图科技股份有限公司,自动化实施（shell/python）,8K-10K,本科,1-3年,全职,民营,100-499人,岗位职责：结合解决方案团队的运维工具实施项目，例如IT监控、应用性能监控（APM）、自动化运维、作业调度、海量日志分析、数据挖掘和数据分析（BI）等工具平台项目，招聘实施工程师，主要负责工具安装部署、实施、调试、培训、验收等项目实施工作。要求：1?本科以上学历，计算机/软件/网络相关专业。2?深入理解Linux操作系统结构，以及Linux各种命令?。3?熟悉SQL语言，熟悉至少一种数据库管理系统(MySQL/Oracle/DB2)；4?具备一年的客户现场的实际运维经验，对数据中心IT设备和运维工作规范有基本的了解。5?较强的沟通能力，能与客户沟通并了解客户需求。6?具备较强的学习能力，进入到公司后通过培训能够快速掌握软件工具的使用。7?优先条件：了解日志收集分析相关技术和方案（例如splunk、kafka、flume、heka、ELK等）。
上海露善文化传播有限公司,Python开发工程师（双休）,8K-10K,大专,不限,全职,民营,100-499人,"岗位职责：1. 承担公司金融项目交易平台系统平台的架构研发，测试，维护；2. 负责详细设计文档编写，需求对接等；3. 根据公司技术架构，从事前沿技术研究。任职要求：1. 计算机及相关专业，1年及以上工作经验；2. 扎实的编程基础，掌握python；熟悉数据库，mysql,等；3. 优秀的沟通和表达能力，清楚的表达个人想法、理解他人观点，具备团队合作意识和推动协作达成的能力。"
立乐教育科技(上海)有限公司,Scratch/Python课程设计师,8K-15K,本科,不限,全职,合资,20-99人,岗位职责：1、主要负责协助课程设计师团队完成产品的课程开发工作，包括教学案例作品的设计与制作相应的技术文档（教材、手册等）；2、参与编程课程开发工作，研究和设计基于公司产品的课程体系与教学模式。3、支持并提供教学老师在课前、课中以及课后所需的材料。任职资格:1、统招本科及以上学历，师范类、理工类、设计创意类相关专业；2、热爱教育行业及愿意推广编程教育、计算思维教育；3、学习能力、团队合作能力强，对前沿的科技教育有浓厚兴趣；4、具备一定编程基础，熟悉Scratch图形化编程、Python编程者优先。
赫里普(上海)信息科技有限公司,测试开发工程师（python）,7K-11K,本科,1-3年,全职,合资,20-99人,岗位职责：部门工具开发及维护?岗位需求：1.?????? 基本的编程能力，熟悉C、C++、Java、C#、python等中一种或多种语言2.?????? 有自动化测试软件或工具开发的项目经历3.?????? 熟悉ALM或Jenkins者优先4.?????? 本科及以上学历5.?????? 较好的沟通能力及团队合作能力
Uniqsys优尼卡日本株式会社,赴日java/Python软件开发-日语必须 ,15K-30K,本科,不限,全职,外商独资,20-99人,※本职位为日本工作职位，简历请写明日语等级，不会日语的勿投，感谢配合！！！?岗位要求：1、计算机相关专业本科以上学历，日语3级以上，能够进行日常会话，能正确理解设计书内容，有过2年以上对日开发经验或有日语能力2级以上资格证书者优先录用；2、有以下任何一门开发语言有2年以上开发经验、或计算机专业毕业、或日语一计算机专业毕业即可：JAVA，.NET，C#，C++/C，SAP，PHP，COBOL，IOS，Android，Salesforce，Python，CRM(dynamicsAX)等；有上述开发语言资格证书、oracle金银牌、CCNA或CCNP等计算机软硬件相关证书者可优先录用；3、为人忠厚老实，踏实勤奋，能够积极主动的完成上级交给的任务4、能够接受长期日本出差。?工作地点：东京?薪资待遇：日本员工同等待遇，视日语水平，工作经验而定（20万～60万日元/月）免费宿舍，交通补助，定期加薪，免费培训，定期团建，员工旅游，节日福利简历发送至；******************
上海华依科技集团股份有限公司,Python数据分析师,6K-10K,大专,不限,全职,民营,100-499人,  工作职责：    1、根据给出的优化目标，以及数据结构和参数，从业务的角度考虑问题，提出分析和解决的方案。  2、利用数据挖掘、机器学习等技术解决实际问题，根据解决方案编写相应的程序。  3、对程序代码实施模块化的管理  4、对分析结果进行专业呈现，可撰写报告，进行交付。    任职要求：        1、本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术，至少2年Python相关工作经验；      2、熟悉敏捷开发流程      3、精通Python编程，熟悉C/C++编程者加分      4、熟悉主流机器学习和数据处理算法库；      5、有Python数据分析实战经验，熟悉数据的处理流程，包括数据的清洗、预处理、存储、分析挖掘和可视化；      6、了解数据挖掘常见算法：分类/聚类，降维方法，逻辑回归，决策树，支持向量机(SVM)等；      7、了解SQL语言、及数据库操作；了解git或svn等版本管理软件；了解linux系统基础知识；      8、良好的团队合作与沟通能力。  
